timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1629437804358,2119,HTTP Request,200,OK,Thread Group 1-26,text,true,,90341,276,70,70,https://test.bestviewsreviews.com:443/about/,3,0,1
1629437804358,3,HTTP Request-0,301,Moved Permanently,Thread Group 1-26,text,true,,351,136,70,70,http://test.bestviewsreviews.com/about/,3,0,1
1629437804361,2116,HTTP Request-1,200,OK,Thread Group 1-26,text,true,,89990,140,70,70,https://test.bestviewsreviews.com:443/about/,2106,0,1696
1629437804176,2322,HTTP Request,200,OK,Thread Group 1-13,text,true,,90341,276,70,70,https://test.bestviewsreviews.com:443/about/,54,0,36
1629437804176,54,HTTP Request-0,301,Moved Permanently,Thread Group 1-13,text,true,,351,136,70,70,http://test.bestviewsreviews.com/about/,54,0,36
1629437804230,2268,HTTP Request-1,200,OK,Thread Group 1-13,text,true,,89990,140,70,70,https://test.bestviewsreviews.com:443/about/,2260,0,1849
1629437804161,2347,HTTP Request,200,OK,Thread Group 1-10,text,true,,90341,276,70,70,https://test.bestviewsreviews.com:443/about/,65,0,49
1629437804161,65,HTTP Request-0,301,Moved Permanently,Thread Group 1-10,text,true,,351,136,70,70,http://test.bestviewsreviews.com/about/,65,0,49
1629437804237,2271,HTTP Request-1,200,OK,Thread Group 1-10,text,true,,89990,140,70,70,https://test.bestviewsreviews.com:443/about/,2267,0,1804
1629437804971,1563,HTTP Request,200,OK,Thread Group 1-70,text,true,,90341,276,70,70,https://test.bestviewsreviews.com:443/about/,2,0,1
1629437804971,2,HTTP Request-0,301,Moved Permanently,Thread Group 1-70,text,true,,351,136,70,70,http://test.bestviewsreviews.com/about/,2,0,1
1629437804973,1561,HTTP Request-1,200,OK,Thread Group 1-70,text,true,,89990,140,70,70,https://test.bestviewsreviews.com:443/about/,1558,0,1084
1629437804580,1965,HTTP Request,200,OK,Thread Group 1-42,text,true,,90341,276,70,70,https://test.bestviewsreviews.com:443/about/,49,0,42
1629437804580,49,HTTP Request-0,301,Moved Permanently,Thread Group 1-42,text,true,,351,136,70,70,http://test.bestviewsreviews.com/about/,49,0,42
1629437804629,1916,HTTP Request-1,200,OK,Thread Group 1-42,text,true,,89990,140,70,70,https://test.bestviewsreviews.com:443/about/,1913,0,1416
1629437804613,1956,HTTP Request,200,OK,Thread Group 1-44,text,true,,90341,276,70,70,https://test.bestviewsreviews.com:443/about/,13,0,9
1629437804613,13,HTTP Request-0,301,Moved Permanently,Thread Group 1-44,text,true,,351,136,70,70,http://test.bestviewsreviews.com/about/,13,0,9
1629437804626,1943,HTTP Request-1,200,OK,Thread Group 1-44,text,true,,89990,140,70,70,https://test.bestviewsreviews.com:443/about/,1932,0,1454
1629437804873,1774,HTTP Request,200,OK,Thread Group 1-63,text,true,,90341,276,70,70,https://test.bestviewsreviews.com:443/about/,2,0,1
1629437804873,2,HTTP Request-0,301,Moved Permanently,Thread Group 1-63,text,true,,351,136,70,70,http://test.bestviewsreviews.com/about/,2,0,1
1629437804876,1771,HTTP Request-1,200,OK,Thread Group 1-63,text,true,,89990,140,70,70,https://test.bestviewsreviews.com:443/about/,1768,0,1163
1629437804343,2314,HTTP Request,200,OK,Thread Group 1-25,text,true,,90341,276,70,70,https://test.bestviewsreviews.com:443/about/,2,0,1
1629437804343,3,HTTP Request-0,301,Moved Permanently,Thread Group 1-25,text,true,,351,136,70,70,http://test.bestviewsreviews.com/about/,2,0,1
1629437804346,2311,HTTP Request-1,200,OK,Thread Group 1-25,text,true,,89990,140,70,70,https://test.bestviewsreviews.com:443/about/,2308,0,1727
1629437804446,2274,HTTP Request,200,OK,Thread Group 1-32,text,true,,90341,276,70,70,https://test.bestviewsreviews.com:443/about/,2,0,1
1629437804446,3,HTTP Request-0,301,Moved Permanently,Thread Group 1-32,text,true,,351,136,70,70,http://test.bestviewsreviews.com/about/,2,0,1
1629437804449,2271,HTTP Request-1,200,OK,Thread Group 1-32,text,true,,89990,140,70,70,https://test.bestviewsreviews.com:443/about/,2269,0,1632
1629437804332,2389,HTTP Request,200,OK,Thread Group 1-24,text,true,,90341,276,70,70,https://test.bestviewsreviews.com:443/about/,2,0,1
1629437804846,1875,HTTP Request,200,OK,Thread Group 1-61,text,true,,90341,276,70,70,https://test.bestviewsreviews.com:443/about/,3,0,2
1629437804332,2,HTTP Request-0,301,Moved Permanently,Thread Group 1-24,text,true,,351,136,70,70,http://test.bestviewsreviews.com/about/,2,0,1
1629437804846,3,HTTP Request-0,301,Moved Permanently,Thread Group 1-61,text,true,,351,136,70,70,http://test.bestviewsreviews.com/about/,3,0,2
1629437804335,2386,HTTP Request-1,200,OK,Thread Group 1-24,text,true,,89990,140,70,70,https://test.bestviewsreviews.com:443/about/,2384,0,1755
1629437804849,1872,HTTP Request-1,200,OK,Thread Group 1-61,text,true,,89990,140,70,70,https://test.bestviewsreviews.com:443/about/,1866,0,1222
1629437804299,2441,HTTP Request,200,OK,Thread Group 1-22,text,true,,90341,276,70,70,https://test.bestviewsreviews.com:443/about/,2,0,1
1629437804299,2,HTTP Request-0,301,Moved Permanently,Thread Group 1-22,text,true,,351,136,70,70,http://test.bestviewsreviews.com/about/,2,0,1
1629437804302,2438,HTTP Request-1,200,OK,Thread Group 1-22,text,true,,89990,140,70,70,https://test.bestviewsreviews.com:443/about/,2432,0,1774
1629437804217,2537,HTTP Request,200,OK,Thread Group 1-16,text,true,,90341,276,70,70,https://test.bestviewsreviews.com:443/about/,9,0,1
1629437804217,9,HTTP Request-0,301,Moved Permanently,Thread Group 1-16,text,true,,351,136,70,70,http://test.bestviewsreviews.com/about/,9,0,1
1629437804237,2517,HTTP Request-1,200,OK,Thread Group 1-16,text,true,,89990,140,70,70,https://test.bestviewsreviews.com:443/about/,2515,0,1849
1629437804804,1969,HTTP Request,200,OK,Thread Group 1-58,text,true,,90341,276,70,70,https://test.bestviewsreviews.com:443/about/,16,0,14
1629437804804,16,HTTP Request-0,301,Moved Permanently,Thread Group 1-58,text,true,,351,136,70,70,http://test.bestviewsreviews.com/about/,16,0,14
1629437804821,1952,HTTP Request-1,200,OK,Thread Group 1-58,text,true,,89990,140,70,70,https://test.bestviewsreviews.com:443/about/,1949,0,1225
1629437804887,1891,HTTP Request,200,OK,Thread Group 1-64,text,true,,90341,276,70,70,https://test.bestviewsreviews.com:443/about/,3,0,2
1629437804887,3,HTTP Request-0,301,Moved Permanently,Thread Group 1-64,text,true,,351,136,70,70,http://test.bestviewsreviews.com/about/,3,0,2
1629437804891,1887,HTTP Request-1,200,OK,Thread Group 1-64,text,true,,89990,140,70,70,https://test.bestviewsreviews.com:443/about/,1884,0,1172
1629437804152,2639,HTTP Request,200,OK,Thread Group 1-6,text,true,,90341,276,70,70,https://test.bestviewsreviews.com:443/about/,72,0,58
1629437804152,72,HTTP Request-0,301,Moved Permanently,Thread Group 1-6,text,true,,351,136,70,70,http://test.bestviewsreviews.com/about/,72,0,58
1629437804225,2566,HTTP Request-1,200,OK,Thread Group 1-6,text,true,,89990,140,70,70,https://test.bestviewsreviews.com:443/about/,2564,0,1851
1629437804511,2299,HTTP Request,200,OK,Thread Group 1-37,text,true,,90341,276,70,70,https://test.bestviewsreviews.com:443/about/,4,0,2
1629437804511,4,HTTP Request-0,301,Moved Permanently,Thread Group 1-37,text,true,,351,136,70,70,http://test.bestviewsreviews.com/about/,4,0,2
1629437804515,2295,HTTP Request-1,200,OK,Thread Group 1-37,text,true,,89990,140,70,70,https://test.bestviewsreviews.com:443/about/,2292,0,1551
1629437804272,2538,HTTP Request,200,OK,Thread Group 1-20,text,true,,90341,276,70,70,https://test.bestviewsreviews.com:443/about/,2,0,1
1629437804272,2,HTTP Request-0,301,Moved Permanently,Thread Group 1-20,text,true,,351,136,70,70,http://test.bestviewsreviews.com/about/,2,0,1
1629437804275,2535,HTTP Request-1,200,OK,Thread Group 1-20,text,true,,89990,140,70,70,https://test.bestviewsreviews.com:443/about/,2532,0,1763
1629437804384,2434,HTTP Request,200,OK,Thread Group 1-28,text,true,,90341,276,70,70,https://test.bestviewsreviews.com:443/about/,2,0,1
1629437804384,2,HTTP Request-0,301,Moved Permanently,Thread Group 1-28,text,true,,351,136,70,70,http://test.bestviewsreviews.com/about/,2,0,1
1629437804387,2431,HTTP Request-1,200,OK,Thread Group 1-28,text,true,,89990,140,70,70,https://test.bestviewsreviews.com:443/about/,2428,0,1713
1629437804844,1984,HTTP Request,200,OK,Thread Group 1-60,text,true,,90341,276,70,70,https://test.bestviewsreviews.com:443/about/,3,0,2
1629437804844,3,HTTP Request-0,301,Moved Permanently,Thread Group 1-60,text,true,,351,136,70,70,http://test.bestviewsreviews.com/about/,3,0,2
1629437804847,1981,HTTP Request-1,200,OK,Thread Group 1-60,text,true,,89990,140,70,70,https://test.bestviewsreviews.com:443/about/,1979,0,1233
