timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1629398179452,3599,HTTP Request,500,Internal Server Error,Thread Group 1-14,text,false,,199400,330,50,50,https://test.bestviewsreviews.com:443/categories/air-conditioners-49763,4,0,3
1629398179452,4,HTTP Request-0,301,Moved Permanently,Thread Group 1-14,text,true,,378,163,50,50,http://test.bestviewsreviews.com/categories/air-conditioners-49763,4,0,3
1629398179457,3594,HTTP Request-1,500,Internal Server Error,Thread Group 1-14,text,false,,199022,167,50,50,https://test.bestviewsreviews.com:443/categories/air-conditioners-49763,3574,0,1737
1629398179867,3247,HTTP Request,500,Internal Server Error,Thread Group 1-30,text,false,,199402,330,50,50,https://test.bestviewsreviews.com:443/categories/air-conditioners-49763,4,0,1
1629398179867,4,HTTP Request-0,301,Moved Permanently,Thread Group 1-30,text,true,,378,163,50,50,http://test.bestviewsreviews.com/categories/air-conditioners-49763,4,0,1
1629398179872,3242,HTTP Request-1,500,Internal Server Error,Thread Group 1-30,text,false,,199024,167,50,50,https://test.bestviewsreviews.com:443/categories/air-conditioners-49763,3226,0,1323
1629398179805,3340,HTTP Request,500,Internal Server Error,Thread Group 1-31,text,false,,199401,330,50,50,https://test.bestviewsreviews.com:443/categories/air-conditioners-49763,18,0,13
1629398179805,18,HTTP Request-0,301,Moved Permanently,Thread Group 1-31,text,true,,378,163,50,50,http://test.bestviewsreviews.com/categories/air-conditioners-49763,18,0,13
1629398179823,3322,HTTP Request-1,500,Internal Server Error,Thread Group 1-31,text,false,,199023,167,50,50,https://test.bestviewsreviews.com:443/categories/air-conditioners-49763,3309,0,1391
1629398179955,3200,HTTP Request,500,Internal Server Error,Thread Group 1-39,text,false,,199401,330,50,50,https://test.bestviewsreviews.com:443/categories/air-conditioners-49763,42,0,38
1629398179955,42,HTTP Request-0,301,Moved Permanently,Thread Group 1-39,text,true,,378,163,50,50,http://test.bestviewsreviews.com/categories/air-conditioners-49763,42,0,38
1629398179998,3157,HTTP Request-1,500,Internal Server Error,Thread Group 1-39,text,false,,199023,167,50,50,https://test.bestviewsreviews.com:443/categories/air-conditioners-49763,3149,0,1197
1629398179509,3779,HTTP Request,500,Internal Server Error,Thread Group 1-17,text,false,,199401,330,50,50,https://test.bestviewsreviews.com:443/categories/air-conditioners-49763,2,0,1
