timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1629401021668,16822,HTTP Request,200,OK,Thread Group 1-17,text,true,,1915069,272,50,50,https://test.bestviewsreviews.com:443/all/,3,0,1
1629401021668,3,HTTP Request-0,301,Moved Permanently,Thread Group 1-17,text,true,,349,134,50,50,http://test.bestviewsreviews.com/all/,3,0,1
1629401021671,16819,HTTP Request-1,200,OK,Thread Group 1-17,text,true,,1914720,138,50,50,https://test.bestviewsreviews.com:443/all/,16704,0,1453
1629401021782,16698,HTTP Request,200,OK,Thread Group 1-23,text,true,,1915069,272,50,50,https://test.bestviewsreviews.com:443/all/,58,0,55
1629401021782,59,HTTP Request-0,301,Moved Permanently,Thread Group 1-23,text,true,,349,134,50,50,http://test.bestviewsreviews.com/all/,58,0,55
1629401021879,16601,HTTP Request-1,200,OK,Thread Group 1-23,text,true,,1914720,138,50,50,https://test.bestviewsreviews.com:443/all/,16443,0,1232
1629401021720,16870,HTTP Request,200,OK,Thread Group 1-20,text,true,,1915069,272,50,50,https://test.bestviewsreviews.com:443/all/,3,0,2
1629401021720,3,HTTP Request-0,301,Moved Permanently,Thread Group 1-20,text,true,,349,134,50,50,http://test.bestviewsreviews.com/all/,3,0,2
1629401021724,16866,HTTP Request-1,200,OK,Thread Group 1-20,text,true,,1914720,138,50,50,https://test.bestviewsreviews.com:443/all/,16786,0,1388
1629401038540,93,HTTP Request,200,OK,Thread Group 1-23,text,true,,1914895,272,50,50,https://test.bestviewsreviews.com:443/all/,6,0,0
1629401038540,6,HTTP Request-0,301,Moved Permanently,Thread Group 1-23,text,true,,349,134,50,50,http://test.bestviewsreviews.com/all/,6,0,0
1629401038547,86,HTTP Request-1,200,OK,Thread Group 1-23,text,true,,1914546,138,50,50,https://test.bestviewsreviews.com:443/all/,12,0,0
1629401038600,110,HTTP Request,200,OK,Thread Group 1-20,text,true,,1914895,272,50,50,https://test.bestviewsreviews.com:443/all/,13,0,0
1629401038600,13,HTTP Request-0,301,Moved Permanently,Thread Group 1-20,text,true,,349,134,50,50,http://test.bestviewsreviews.com/all/,13,0,0
1629401038613,97,HTTP Request-1,200,OK,Thread Group 1-20,text,true,,1914546,138,50,50,https://test.bestviewsreviews.com:443/all/,40,0,0
1629401022183,16666,HTTP Request,200,OK,Thread Group 1-43,text,true,,1915069,272,50,50,https://test.bestviewsreviews.com:443/all/,2,0,1
1629401022183,2,HTTP Request-0,301,Moved Permanently,Thread Group 1-43,text,true,,349,134,50,50,http://test.bestviewsreviews.com/all/,2,0,1
1629401022186,16663,HTTP Request-1,200,OK,Thread Group 1-43,text,true,,1914720,138,50,50,https://test.bestviewsreviews.com:443/all/,16592,0,941
1629401021693,17222,HTTP Request,200,OK,Thread Group 1-18,text,true,,1915069,272,50,50,https://test.bestviewsreviews.com:443/all/,2,0,1
1629401021693,2,HTTP Request-0,301,Moved Permanently,Thread Group 1-18,text,true,,349,134,50,50,http://test.bestviewsreviews.com/all/,2,0,1
1629401021696,17219,HTTP Request-1,200,OK,Thread Group 1-18,text,true,,1914720,138,50,50,https://test.bestviewsreviews.com:443/all/,17148,0,1412
1629401038860,84,HTTP Request,200,OK,Thread Group 1-43,text,true,,1914895,272,50,50,https://test.bestviewsreviews.com:443/all/,3,0,0
1629401038860,3,HTTP Request-0,301,Moved Permanently,Thread Group 1-43,text,true,,349,134,50,50,http://test.bestviewsreviews.com/all/,3,0,0
1629401038863,81,HTTP Request-1,200,OK,Thread Group 1-43,text,true,,1914546,138,50,50,https://test.bestviewsreviews.com:443/all/,15,0,0
1629401038926,83,HTTP Request,200,OK,Thread Group 1-18,text,true,,1914895,272,50,50,https://test.bestviewsreviews.com:443/all/,4,0,0
1629401038926,4,HTTP Request-0,301,Moved Permanently,Thread Group 1-18,text,true,,349,134,50,50,http://test.bestviewsreviews.com/all/,4,0,0
1629401038930,79,HTTP Request-1,200,OK,Thread Group 1-18,text,true,,1914546,138,50,50,https://test.bestviewsreviews.com:443/all/,12,0,0
1629401021481,17864,HTTP Request,200,OK,Thread Group 1-1,text,true,,1915069,272,50,50,https://test.bestviewsreviews.com:443/all/,63,0,44
1629401021481,63,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,text,true,,349,134,50,50,http://test.bestviewsreviews.com/all/,63,0,44
1629401021546,17799,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,1914720,138,50,50,https://test.bestviewsreviews.com:443/all/,17682,0,1573
1629401022221,17143,HTTP Request,200,OK,Thread Group 1-45,text,true,,1915069,272,50,50,https://test.bestviewsreviews.com:443/all/,8,0,3
1629401022221,8,HTTP Request-0,301,Moved Permanently,Thread Group 1-45,text,true,,349,134,50,50,http://test.bestviewsreviews.com/all/,8,0,3
1629401022230,17134,HTTP Request-1,200,OK,Thread Group 1-45,text,true,,1914720,138,50,50,https://test.bestviewsreviews.com:443/all/,17021,0,879
1629401021626,17733,HTTP Request,200,OK,Thread Group 1-15,text,true,,1915069,272,50,50,https://test.bestviewsreviews.com:443/all/,3,0,2
1629401021626,3,HTTP Request-0,301,Moved Permanently,Thread Group 1-15,text,true,,349,134,50,50,http://test.bestviewsreviews.com/all/,3,0,2
1629401021630,17729,HTTP Request-1,200,OK,Thread Group 1-15,text,true,,1914720,138,50,50,https://test.bestviewsreviews.com:443/all/,17629,0,1486
1629401021480,17926,HTTP Request,200,OK,Thread Group 1-7,text,true,,1915069,272,50,50,https://test.bestviewsreviews.com:443/all/,62,0,46
1629401021480,62,HTTP Request-0,301,Moved Permanently,Thread Group 1-7,text,true,,349,134,50,50,http://test.bestviewsreviews.com/all/,62,0,46
