timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1629436726584,3116,HTTP Request,200,OK,Thread Group 1-8,text,true,,97862,274,70,70,https://test.bestviewsreviews.com:443/blog/,78,0,53
1629436726584,78,HTTP Request-0,301,Moved Permanently,Thread Group 1-8,text,true,,350,135,70,70,http://test.bestviewsreviews.com/blog/,78,0,53
1629436726663,3037,HTTP Request-1,200,OK,Thread Group 1-8,text,true,,97512,139,70,70,https://test.bestviewsreviews.com:443/blog/,3028,0,1986
1629436726795,2933,HTTP Request,200,OK,Thread Group 1-26,text,true,,97862,274,70,70,https://test.bestviewsreviews.com:443/blog/,5,0,3
1629436726795,5,HTTP Request-0,301,Moved Permanently,Thread Group 1-26,text,true,,350,135,70,70,http://test.bestviewsreviews.com/blog/,5,0,3
1629436726800,2928,HTTP Request-1,200,OK,Thread Group 1-26,text,true,,97512,139,70,70,https://test.bestviewsreviews.com:443/blog/,2919,0,1876
1629436726805,2963,HTTP Request,200,OK,Thread Group 1-27,text,true,,97862,274,70,70,https://test.bestviewsreviews.com:443/blog/,3,0,2
1629436726805,3,HTTP Request-0,301,Moved Permanently,Thread Group 1-27,text,true,,350,135,70,70,http://test.bestviewsreviews.com/blog/,3,0,2
1629436726808,2960,HTTP Request-1,200,OK,Thread Group 1-27,text,true,,97512,139,70,70,https://test.bestviewsreviews.com:443/blog/,2956,0,1828
1629436727297,2513,HTTP Request,200,OK,Thread Group 1-62,text,true,,97862,274,70,70,https://test.bestviewsreviews.com:443/blog/,3,0,2
1629436727297,3,HTTP Request-0,301,Moved Permanently,Thread Group 1-62,text,true,,350,135,70,70,http://test.bestviewsreviews.com/blog/,3,0,2
1629436727300,2510,HTTP Request-1,200,OK,Thread Group 1-62,text,true,,97512,139,70,70,https://test.bestviewsreviews.com:443/blog/,2507,0,1334
1629436726584,3268,HTTP Request,200,OK,Thread Group 1-4,text,true,,97862,274,70,70,https://test.bestviewsreviews.com:443/blog/,68,0,53
1629436726584,68,HTTP Request-0,301,Moved Permanently,Thread Group 1-4,text,true,,350,135,70,70,http://test.bestviewsreviews.com/blog/,68,0,53
1629436726654,3198,HTTP Request-1,200,OK,Thread Group 1-4,text,true,,97512,139,70,70,https://test.bestviewsreviews.com:443/blog/,3195,0,2009
1629436726585,3276,HTTP Request,200,OK,Thread Group 1-6,text,true,,97862,274,70,70,https://test.bestviewsreviews.com:443/blog/,78,0,52
1629436726585,78,HTTP Request-0,301,Moved Permanently,Thread Group 1-6,text,true,,350,135,70,70,http://test.bestviewsreviews.com/blog/,78,0,52
1629436726664,3197,HTTP Request-1,200,OK,Thread Group 1-6,text,true,,97512,139,70,70,https://test.bestviewsreviews.com:443/blog/,3194,0,2008
1629436727213,2650,HTTP Request,200,OK,Thread Group 1-55,text,true,,97862,274,70,70,https://test.bestviewsreviews.com:443/blog/,28,0,15
1629436727213,28,HTTP Request-0,301,Moved Permanently,Thread Group 1-55,text,true,,350,135,70,70,http://test.bestviewsreviews.com/blog/,28,0,15
1629436727242,2621,HTTP Request-1,200,OK,Thread Group 1-55,text,true,,97512,139,70,70,https://test.bestviewsreviews.com:443/blog/,2618,0,1396
1629436727229,2673,HTTP Request,200,OK,Thread Group 1-57,text,true,,97862,274,70,70,https://test.bestviewsreviews.com:443/blog/,7,0,3
1629436726876,3030,HTTP Request,200,OK,Thread Group 1-32,text,true,,97862,274,70,70,https://test.bestviewsreviews.com:443/blog/,2,0,1
1629436726876,2,HTTP Request-0,301,Moved Permanently,Thread Group 1-32,text,true,,350,135,70,70,http://test.bestviewsreviews.com/blog/,2,0,1
1629436726879,3027,HTTP Request-1,200,OK,Thread Group 1-32,text,true,,97512,139,70,70,https://test.bestviewsreviews.com:443/blog/,3024,0,1789
1629436726779,3127,HTTP Request,200,OK,Thread Group 1-25,text,true,,97862,274,70,70,https://test.bestviewsreviews.com:443/blog/,2,0,1
1629436726779,2,HTTP Request-0,301,Moved Permanently,Thread Group 1-25,text,true,,350,135,70,70,http://test.bestviewsreviews.com/blog/,2,0,1
1629436726782,3124,HTTP Request-1,200,OK,Thread Group 1-25,text,true,,97512,139,70,70,https://test.bestviewsreviews.com:443/blog/,3120,0,1867
1629436727229,7,HTTP Request-0,301,Moved Permanently,Thread Group 1-57,text,true,,350,135,70,70,http://test.bestviewsreviews.com/blog/,7,0,3
