timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1629397140772,4045,HTTP Request,200,OK,Thread Group 1-38,text,true,,642287,286,70,70,https://test.bestviewsreviews.com:443/categories/,2,0,1
1629397140772,2,HTTP Request-0,301,Moved Permanently,Thread Group 1-38,text,true,,356,141,70,70,http://test.bestviewsreviews.com/categories/,2,0,1
1629397140775,4042,HTTP Request-1,200,OK,Thread Group 1-38,text,true,,641931,145,70,70,https://test.bestviewsreviews.com:443/categories/,2013,0,1859
1629397140644,4280,HTTP Request,200,OK,Thread Group 1-29,text,true,,642287,286,70,70,https://test.bestviewsreviews.com:443/categories/,3,0,2
1629397140644,3,HTTP Request-0,301,Moved Permanently,Thread Group 1-29,text,true,,356,141,70,70,http://test.bestviewsreviews.com/categories/,3,0,2
1629397140648,4276,HTTP Request-1,200,OK,Thread Group 1-29,text,true,,641931,145,70,70,https://test.bestviewsreviews.com:443/categories/,2154,0,1992
1629397141182,3879,HTTP Request,200,OK,Thread Group 1-67,text,true,,642287,286,70,70,https://test.bestviewsreviews.com:443/categories/,23,0,3
1629397141182,23,HTTP Request-0,301,Moved Permanently,Thread Group 1-67,text,true,,356,141,70,70,http://test.bestviewsreviews.com/categories/,23,0,3
1629397141206,3855,HTTP Request-1,200,OK,Thread Group 1-67,text,true,,641931,145,70,70,https://test.bestviewsreviews.com:443/categories/,1472,0,1426
1629397141190,3745,HTTP Request,200,OK,Thread Group 1-68,text,true,,642287,286,70,70,https://test.bestviewsreviews.com:443/categories/,17,0,8
1629397141190,17,HTTP Request-0,301,Moved Permanently,Thread Group 1-68,text,true,,356,141,70,70,http://test.bestviewsreviews.com/categories/,17,0,8
1629397141208,3727,HTTP Request-1,200,OK,Thread Group 1-68,text,true,,641931,145,70,70,https://test.bestviewsreviews.com:443/categories/,1653,0,1435
1629397140659,4119,HTTP Request,200,OK,Thread Group 1-30,text,true,,642287,286,70,70,https://test.bestviewsreviews.com:443/categories/,2,0,1
1629397140659,2,HTTP Request-0,301,Moved Permanently,Thread Group 1-30,text,true,,356,141,70,70,http://test.bestviewsreviews.com/categories/,2,0,1
1629397140662,4116,HTTP Request-1,200,OK,Thread Group 1-30,text,true,,641931,145,70,70,https://test.bestviewsreviews.com:443/categories/,2199,0,1963
1629397141009,3913,HTTP Request,200,OK,Thread Group 1-55,text,true,,642287,286,70,70,https://test.bestviewsreviews.com:443/categories/,10,0,5
1629397141009,10,HTTP Request-0,301,Moved Permanently,Thread Group 1-55,text,true,,356,141,70,70,http://test.bestviewsreviews.com/categories/,10,0,5
1629397141019,3903,HTTP Request-1,200,OK,Thread Group 1-55,text,true,,641931,145,70,70,https://test.bestviewsreviews.com:443/categories/,1798,0,1630
1629397140428,4449,HTTP Request,200,OK,Thread Group 1-11,text,true,,642287,286,70,70,https://test.bestviewsreviews.com:443/categories/,44,0,31
1629397140428,49,HTTP Request-0,301,Moved Permanently,Thread Group 1-11,text,true,,356,141,70,70,http://test.bestviewsreviews.com/categories/,44,0,31
1629397140491,4386,HTTP Request-1,200,OK,Thread Group 1-11,text,true,,641931,145,70,70,https://test.bestviewsreviews.com:443/categories/,2356,0,2142
1629397140426,4328,HTTP Request,200,OK,Thread Group 1-13,text,true,,642287,286,70,70,https://test.bestviewsreviews.com:443/categories/,43,0,34
1629397141228,3673,HTTP Request,200,OK,Thread Group 1-66,text,true,,642287,286,70,70,https://test.bestviewsreviews.com:443/categories/,97,0,1
1629397140426,66,HTTP Request-0,301,Moved Permanently,Thread Group 1-13,text,true,,356,141,70,70,http://test.bestviewsreviews.com/categories/,43,0,34
1629397141228,97,HTTP Request-0,301,Moved Permanently,Thread Group 1-66,text,true,,356,141,70,70,http://test.bestviewsreviews.com/categories/,97,0,1
1629397140493,4261,HTTP Request-1,200,OK,Thread Group 1-13,text,true,,641931,145,70,70,https://test.bestviewsreviews.com:443/categories/,2476,0,2136
1629397141326,3575,HTTP Request-1,200,OK,Thread Group 1-66,text,true,,641931,145,70,70,https://test.bestviewsreviews.com:443/categories/,1557,0,1311
1629397140585,4328,HTTP Request,200,OK,Thread Group 1-24,text,true,,642287,286,70,70,https://test.bestviewsreviews.com:443/categories/,3,0,2
1629397140585,3,HTTP Request-0,301,Moved Permanently,Thread Group 1-24,text,true,,356,141,70,70,http://test.bestviewsreviews.com/categories/,3,0,2
1629397140588,4325,HTTP Request-1,200,OK,Thread Group 1-24,text,true,,641931,145,70,70,https://test.bestviewsreviews.com:443/categories/,2226,0,2054
1629397140430,4433,HTTP Request,200,OK,Thread Group 1-2,text,true,,642287,286,70,70,https://test.bestviewsreviews.com:443/categories/,43,0,30
1629397140430,47,HTTP Request-0,301,Moved Permanently,Thread Group 1-2,text,true,,356,141,70,70,http://test.bestviewsreviews.com/categories/,43,0,30
1629397140488,4375,HTTP Request-1,200,OK,Thread Group 1-2,text,true,,641931,145,70,70,https://test.bestviewsreviews.com:443/categories/,2199,0,2132
1629397141135,3749,HTTP Request,200,OK,Thread Group 1-64,text,true,,642287,286,70,70,https://test.bestviewsreviews.com:443/categories/,3,0,2
1629397141135,3,HTTP Request-0,301,Moved Permanently,Thread Group 1-64,text,true,,356,141,70,70,http://test.bestviewsreviews.com/categories/,3,0,2
1629397141138,3746,HTTP Request-1,200,OK,Thread Group 1-64,text,true,,641931,145,70,70,https://test.bestviewsreviews.com:443/categories/,1700,0,1509
1629397140897,3932,HTTP Request,200,OK,Thread Group 1-47,text,true,,642287,286,70,70,https://test.bestviewsreviews.com:443/categories/,14,0,5
1629397140897,14,HTTP Request-0,301,Moved Permanently,Thread Group 1-47,text,true,,356,141,70,70,http://test.bestviewsreviews.com/categories/,14,0,5
1629397140912,3917,HTTP Request-1,200,OK,Thread Group 1-47,text,true,,641931,145,70,70,https://test.bestviewsreviews.com:443/categories/,2065,0,1735
1629397140813,4024,HTTP Request,200,OK,Thread Group 1-41,text,true,,642287,286,70,70,https://test.bestviewsreviews.com:443/categories/,3,0,2
1629397140813,3,HTTP Request-0,301,Moved Permanently,Thread Group 1-41,text,true,,356,141,70,70,http://test.bestviewsreviews.com/categories/,3,0,2
1629397140479,4354,HTTP Request,200,OK,Thread Group 1-17,text,true,,642287,286,70,70,https://test.bestviewsreviews.com:443/categories/,2,0,1
1629397140479,2,HTTP Request-0,301,Moved Permanently,Thread Group 1-17,text,true,,356,141,70,70,http://test.bestviewsreviews.com/categories/,2,0,1
1629397140482,4351,HTTP Request-1,200,OK,Thread Group 1-17,text,true,,641931,145,70,70,https://test.bestviewsreviews.com:443/categories/,2395,0,2160
1629397140816,4021,HTTP Request-1,200,OK,Thread Group 1-41,text,true,,641931,145,70,70,https://test.bestviewsreviews.com:443/categories/,2100,0,1817
1629397141037,3871,HTTP Request,200,OK,Thread Group 1-57,text,true,,642287,286,70,70,https://test.bestviewsreviews.com:443/categories/,2,0,1
1629397141037,2,HTTP Request-0,301,Moved Permanently,Thread Group 1-57,text,true,,356,141,70,70,http://test.bestviewsreviews.com/categories/,2,0,1
1629397141040,3868,HTTP Request-1,200,OK,Thread Group 1-57,text,true,,641931,145,70,70,https://test.bestviewsreviews.com:443/categories/,1841,0,1610
1629397140891,3955,HTTP Request,200,OK,Thread Group 1-46,text,true,,642287,286,70,70,https://test.bestviewsreviews.com:443/categories/,7,0,2
1629397140891,7,HTTP Request-0,301,Moved Permanently,Thread Group 1-46,text,true,,356,141,70,70,http://test.bestviewsreviews.com/categories/,7,0,2
1629397140922,3924,HTTP Request-1,200,OK,Thread Group 1-46,text,true,,641931,145,70,70,https://test.bestviewsreviews.com:443/categories/,1902,0,1723
1629397140976,3921,HTTP Request,200,OK,Thread Group 1-52,text,true,,642287,286,70,70,https://test.bestviewsreviews.com:443/categories/,34,0,32
1629397140976,34,HTTP Request-0,301,Moved Permanently,Thread Group 1-52,text,true,,356,141,70,70,http://test.bestviewsreviews.com/categories/,34,0,32
1629397141010,3887,HTTP Request-1,200,OK,Thread Group 1-52,text,true,,641931,145,70,70,https://test.bestviewsreviews.com:443/categories/,1791,0,1628
1629397140470,4398,HTTP Request,200,OK,Thread Group 1-16,text,true,,642287,286,70,70,https://test.bestviewsreviews.com:443/categories/,5,0,2
1629397140470,7,HTTP Request-0,301,Moved Permanently,Thread Group 1-16,text,true,,356,141,70,70,http://test.bestviewsreviews.com/categories/,5,0,2
1629397140492,4376,HTTP Request-1,200,OK,Thread Group 1-16,text,true,,641931,145,70,70,https://test.bestviewsreviews.com:443/categories/,2273,0,2135
1629397140599,4238,HTTP Request,200,OK,Thread Group 1-25,text,true,,642287,286,70,70,https://test.bestviewsreviews.com:443/categories/,7,0,4
1629397140599,7,HTTP Request-0,301,Moved Permanently,Thread Group 1-25,text,true,,356,141,70,70,http://test.bestviewsreviews.com/categories/,7,0,4
1629397140607,4230,HTTP Request-1,200,OK,Thread Group 1-25,text,true,,641931,145,70,70,https://test.bestviewsreviews.com:443/categories/,2112,0,2015
1629397140854,3996,HTTP Request,200,OK,Thread Group 1-44,text,true,,642287,286,70,70,https://test.bestviewsreviews.com:443/categories/,3,0,2
1629397140854,3,HTTP Request-0,301,Moved Permanently,Thread Group 1-44,text,true,,356,141,70,70,http://test.bestviewsreviews.com/categories/,3,0,2
1629397140857,3993,HTTP Request-1,200,OK,Thread Group 1-44,text,true,,641931,145,70,70,https://test.bestviewsreviews.com:443/categories/,2174,0,1774
1629397140703,4188,HTTP Request,200,OK,Thread Group 1-33,text,true,,642287,286,70,70,https://test.bestviewsreviews.com:443/categories/,10,0,7
1629397140703,10,HTTP Request-0,301,Moved Permanently,Thread Group 1-33,text,true,,356,141,70,70,http://test.bestviewsreviews.com/categories/,10,0,7
1629397140714,4177,HTTP Request-1,200,OK,Thread Group 1-33,text,true,,641931,145,70,70,https://test.bestviewsreviews.com:443/categories/,2265,0,1929
1629397141182,3657,HTTP Request,200,OK,Thread Group 1-65,text,true,,642287,286,70,70,https://test.bestviewsreviews.com:443/categories/,21,0,3
1629397141182,21,HTTP Request-0,301,Moved Permanently,Thread Group 1-65,text,true,,356,141,70,70,http://test.bestviewsreviews.com/categories/,21,0,3
1629397141205,3634,HTTP Request-1,200,OK,Thread Group 1-65,text,true,,641931,145,70,70,https://test.bestviewsreviews.com:443/categories/,1521,0,1427
1629397140428,4413,HTTP Request,200,OK,Thread Group 1-5,text,true,,642287,286,70,70,https://test.bestviewsreviews.com:443/categories/,43,0,36
1629397140428,49,HTTP Request-0,301,Moved Permanently,Thread Group 1-5,text,true,,356,141,70,70,http://test.bestviewsreviews.com/categories/,43,0,36
