timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1629396770383,41784,HTTP Request,200,OK,Thread Group 1-4,text,true,,642461,286,50,50,https://test.bestviewsreviews.com:443/categories/,92,0,76
1629396770383,102,HTTP Request-0,301,Moved Permanently,Thread Group 1-4,text,true,,356,141,50,50,http://test.bestviewsreviews.com/categories/,92,0,76
1629396770485,41682,HTTP Request-1,200,OK,Thread Group 1-4,text,true,,642105,145,50,50,https://test.bestviewsreviews.com:443/categories/,41616,0,1608
1629396812193,52,HTTP Request,200,OK,Thread Group 1-4,text,true,,642287,286,50,50,https://test.bestviewsreviews.com:443/categories/,6,0,0
1629396812193,6,HTTP Request-0,301,Moved Permanently,Thread Group 1-4,text,true,,356,141,50,50,http://test.bestviewsreviews.com/categories/,6,0,0
1629396812199,46,HTTP Request-1,200,OK,Thread Group 1-4,text,true,,641931,145,50,50,https://test.bestviewsreviews.com:443/categories/,13,0,0
1629396770830,41602,HTTP Request,200,OK,Thread Group 1-30,text,true,,642461,286,50,50,https://test.bestviewsreviews.com:443/categories/,28,0,23
1629396770830,28,HTTP Request-0,301,Moved Permanently,Thread Group 1-30,text,true,,356,141,50,50,http://test.bestviewsreviews.com/categories/,28,0,23
1629396770858,41574,HTTP Request-1,200,OK,Thread Group 1-30,text,true,,642105,145,50,50,https://test.bestviewsreviews.com:443/categories/,41541,0,1240
1629396812437,42,HTTP Request,200,OK,Thread Group 1-30,text,true,,642287,286,50,50,https://test.bestviewsreviews.com:443/categories/,3,0,0
1629396812437,3,HTTP Request-0,301,Moved Permanently,Thread Group 1-30,text,true,,356,141,50,50,http://test.bestviewsreviews.com/categories/,3,0,0
1629396812440,39,HTTP Request-1,200,OK,Thread Group 1-30,text,true,,641931,145,50,50,https://test.bestviewsreviews.com:443/categories/,13,0,0
1629396770910,41628,HTTP Request,200,OK,Thread Group 1-34,text,true,,642461,286,50,50,https://test.bestviewsreviews.com:443/categories/,3,0,2
1629396770910,4,HTTP Request-0,301,Moved Permanently,Thread Group 1-34,text,true,,356,141,50,50,http://test.bestviewsreviews.com/categories/,3,0,2
1629396770914,41624,HTTP Request-1,200,OK,Thread Group 1-34,text,true,,642105,145,50,50,https://test.bestviewsreviews.com:443/categories/,41596,0,1198
1629396812543,74,HTTP Request,200,OK,Thread Group 1-34,text,true,,642287,286,50,50,https://test.bestviewsreviews.com:443/categories/,2,0,0
1629396812543,2,HTTP Request-0,301,Moved Permanently,Thread Group 1-34,text,true,,356,141,50,50,http://test.bestviewsreviews.com/categories/,2,0,0
1629396812546,71,HTTP Request-1,200,OK,Thread Group 1-34,text,true,,641931,145,50,50,https://test.bestviewsreviews.com:443/categories/,49,0,0
1629396771007,41702,HTTP Request,200,OK,Thread Group 1-38,text,true,,642461,286,50,50,https://test.bestviewsreviews.com:443/categories/,36,0,1
1629396771007,36,HTTP Request-0,301,Moved Permanently,Thread Group 1-38,text,true,,356,141,50,50,http://test.bestviewsreviews.com/categories/,36,0,1
1629396771044,41665,HTTP Request-1,200,OK,Thread Group 1-38,text,true,,642105,145,50,50,https://test.bestviewsreviews.com:443/categories/,41639,0,1060
1629396812713,32,HTTP Request,200,OK,Thread Group 1-38,text,true,,642287,286,50,50,https://test.bestviewsreviews.com:443/categories/,3,0,0
1629396812713,3,HTTP Request-0,301,Moved Permanently,Thread Group 1-38,text,true,,356,141,50,50,http://test.bestviewsreviews.com/categories/,3,0,0
1629396812716,29,HTTP Request-1,200,OK,Thread Group 1-38,text,true,,641931,145,50,50,https://test.bestviewsreviews.com:443/categories/,9,0,0
1629396771178,41626,HTTP Request,200,OK,Thread Group 1-47,text,true,,642461,286,50,50,https://test.bestviewsreviews.com:443/categories/,2,0,1
1629396771178,2,HTTP Request-0,301,Moved Permanently,Thread Group 1-47,text,true,,356,141,50,50,http://test.bestviewsreviews.com/categories/,2,0,1
1629396771181,41623,HTTP Request-1,200,OK,Thread Group 1-47,text,true,,642105,145,50,50,https://test.bestviewsreviews.com:443/categories/,41597,0,927
1629396812808,38,HTTP Request,200,OK,Thread Group 1-47,text,true,,642287,286,50,50,https://test.bestviewsreviews.com:443/categories/,3,0,0
1629396812808,3,HTTP Request-0,301,Moved Permanently,Thread Group 1-47,text,true,,356,141,50,50,http://test.bestviewsreviews.com/categories/,3,0,0
1629396812811,35,HTTP Request-1,200,OK,Thread Group 1-47,text,true,,641931,145,50,50,https://test.bestviewsreviews.com:443/categories/,16,0,0
1629396770653,42275,HTTP Request,200,OK,Thread Group 1-21,text,true,,642461,286,50,50,https://test.bestviewsreviews.com:443/categories/,3,0,2
1629396770653,3,HTTP Request-0,301,Moved Permanently,Thread Group 1-21,text,true,,356,141,50,50,http://test.bestviewsreviews.com/categories/,3,0,2
1629396770657,42271,HTTP Request-1,200,OK,Thread Group 1-21,text,true,,642105,145,50,50,https://test.bestviewsreviews.com:443/categories/,42245,0,1440
1629396770634,42325,HTTP Request,200,OK,Thread Group 1-20,text,true,,642461,286,50,50,https://test.bestviewsreviews.com:443/categories/,2,0,1
1629396770634,2,HTTP Request-0,301,Moved Permanently,Thread Group 1-20,text,true,,356,141,50,50,http://test.bestviewsreviews.com/categories/,2,0,1
1629396770637,42322,HTTP Request-1,200,OK,Thread Group 1-20,text,true,,642105,145,50,50,https://test.bestviewsreviews.com:443/categories/,42297,0,1462
1629396812932,56,HTTP Request,200,OK,Thread Group 1-21,text,true,,642287,286,50,50,https://test.bestviewsreviews.com:443/categories/,4,0,0
1629396812932,4,HTTP Request-0,301,Moved Permanently,Thread Group 1-21,text,true,,356,141,50,50,http://test.bestviewsreviews.com/categories/,4,0,0
1629396812936,52,HTTP Request-1,200,OK,Thread Group 1-21,text,true,,641931,145,50,50,https://test.bestviewsreviews.com:443/categories/,27,0,0
1629396812991,33,HTTP Request,200,OK,Thread Group 1-21,text,true,,642287,286,50,50,https://test.bestviewsreviews.com:443/categories/,1,0,0
1629396812991,1,HTTP Request-0,301,Moved Permanently,Thread Group 1-21,text,true,,356,141,50,50,http://test.bestviewsreviews.com/categories/,1,0,0
1629396812992,32,HTTP Request-1,200,OK,Thread Group 1-21,text,true,,641931,145,50,50,https://test.bestviewsreviews.com:443/categories/,15,0,0
1629396770449,42753,HTTP Request,200,OK,Thread Group 1-11,text,true,,642461,286,50,50,https://test.bestviewsreviews.com:443/categories/,25,0,10
1629396770449,33,HTTP Request-0,301,Moved Permanently,Thread Group 1-11,text,true,,356,141,50,50,http://test.bestviewsreviews.com/categories/,25,0,10
1629396770483,42719,HTTP Request-1,200,OK,Thread Group 1-11,text,true,,642105,145,50,50,https://test.bestviewsreviews.com:443/categories/,42692,0,1620
1629396813206,33,HTTP Request,200,OK,Thread Group 1-11,text,true,,642287,286,50,50,https://test.bestviewsreviews.com:443/categories/,3,0,0
1629396813206,3,HTTP Request-0,301,Moved Permanently,Thread Group 1-11,text,true,,356,141,50,50,http://test.bestviewsreviews.com/categories/,3,0,0
1629396813209,30,HTTP Request-1,200,OK,Thread Group 1-11,text,true,,641931,145,50,50,https://test.bestviewsreviews.com:443/categories/,5,0,0
1629396770974,42535,HTTP Request,200,OK,Thread Group 1-37,text,true,,642461,286,50,50,https://test.bestviewsreviews.com:443/categories/,4,0,2
1629396770974,4,HTTP Request-0,301,Moved Permanently,Thread Group 1-37,text,true,,356,141,50,50,http://test.bestviewsreviews.com/categories/,4,0,2
1629396770978,42531,HTTP Request-1,200,OK,Thread Group 1-37,text,true,,642105,145,50,50,https://test.bestviewsreviews.com:443/categories/,42508,0,1118
1629396813513,29,HTTP Request,200,OK,Thread Group 1-37,text,true,,642287,286,50,50,https://test.bestviewsreviews.com:443/categories/,3,0,0
1629396813513,3,HTTP Request-0,301,Moved Permanently,Thread Group 1-37,text,true,,356,141,50,50,http://test.bestviewsreviews.com/categories/,3,0,0
1629396813516,26,HTTP Request-1,200,OK,Thread Group 1-37,text,true,,641931,145,50,50,https://test.bestviewsreviews.com:443/categories/,5,0,0
1629396771091,42524,HTTP Request,200,OK,Thread Group 1-43,text,true,,642461,286,50,50,https://test.bestviewsreviews.com:443/categories/,46,0,2
1629396771091,47,HTTP Request-0,301,Moved Permanently,Thread Group 1-43,text,true,,356,141,50,50,http://test.bestviewsreviews.com/categories/,46,0,2
1629396771138,42477,HTTP Request-1,200,OK,Thread Group 1-43,text,true,,642105,145,50,50,https://test.bestviewsreviews.com:443/categories/,42451,0,963
1629396770382,43288,HTTP Request,200,OK,Thread Group 1-5,text,true,,642461,286,50,50,https://test.bestviewsreviews.com:443/categories/,92,0,77
1629396770382,104,HTTP Request-0,301,Moved Permanently,Thread Group 1-5,text,true,,356,141,50,50,http://test.bestviewsreviews.com/categories/,92,0,77
1629396770487,43183,HTTP Request-1,200,OK,Thread Group 1-5,text,true,,642105,145,50,50,https://test.bestviewsreviews.com:443/categories/,43163,0,1620
1629396770414,43275,HTTP Request,200,OK,Thread Group 1-9,text,true,,642461,286,50,50,https://test.bestviewsreviews.com:443/categories/,60,0,44
1629396770414,62,HTTP Request-0,301,Moved Permanently,Thread Group 1-9,text,true,,356,141,50,50,http://test.bestviewsreviews.com/categories/,60,0,44
1629396770483,43206,HTTP Request-1,200,OK,Thread Group 1-9,text,true,,642105,145,50,50,https://test.bestviewsreviews.com:443/categories/,43167,0,1623
1629396813674,54,HTTP Request,200,OK,Thread Group 1-5,text,true,,642287,286,50,50,https://test.bestviewsreviews.com:443/categories/,3,0,0
1629396813674,3,HTTP Request-0,301,Moved Permanently,Thread Group 1-5,text,true,,356,141,50,50,http://test.bestviewsreviews.com/categories/,3,0,0
1629396813677,51,HTTP Request-1,200,OK,Thread Group 1-5,text,true,,641931,145,50,50,https://test.bestviewsreviews.com:443/categories/,6,0,0
1629396771113,42647,HTTP Request,200,OK,Thread Group 1-44,text,true,,642461,286,50,50,https://test.bestviewsreviews.com:443/categories/,49,0,42
1629396771113,49,HTTP Request-0,301,Moved Permanently,Thread Group 1-44,text,true,,356,141,50,50,http://test.bestviewsreviews.com/categories/,49,0,42
1629396771162,42598,HTTP Request-1,200,OK,Thread Group 1-44,text,true,,642105,145,50,50,https://test.bestviewsreviews.com:443/categories/,42538,0,938
1629396813620,121,HTTP Request,200,OK,Thread Group 1-43,text,true,,642287,286,50,50,https://test.bestviewsreviews.com:443/categories/,2,0,0
1629396813620,2,HTTP Request-0,301,Moved Permanently,Thread Group 1-43,text,true,,356,141,50,50,http://test.bestviewsreviews.com/categories/,2,0,0
1629396813622,119,HTTP Request-1,200,OK,Thread Group 1-43,text,true,,641931,145,50,50,https://test.bestviewsreviews.com:443/categories/,40,0,0
1629396770381,43398,HTTP Request,200,OK,Thread Group 1-1,text,true,,642461,286,50,50,https://test.bestviewsreviews.com:443/categories/,107,0,78
1629396770381,107,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,text,true,,356,141,50,50,http://test.bestviewsreviews.com/categories/,107,0,78
1629396770488,43291,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,642105,145,50,50,https://test.bestviewsreviews.com:443/categories/,43206,0,1614
1629396771214,42563,HTTP Request,200,OK,Thread Group 1-49,text,true,,642461,286,50,50,https://test.bestviewsreviews.com:443/categories/,4,0,1
1629396771214,4,HTTP Request-0,301,Moved Permanently,Thread Group 1-49,text,true,,356,141,50,50,http://test.bestviewsreviews.com/categories/,4,0,1
1629396771218,42559,HTTP Request-1,200,OK,Thread Group 1-49,text,true,,642105,145,50,50,https://test.bestviewsreviews.com:443/categories/,42460,0,876
1629396771255,42544,HTTP Request,200,OK,Thread Group 1-50,text,true,,642461,286,50,50,https://test.bestviewsreviews.com:443/categories/,3,0,2
1629396771255,3,HTTP Request-0,301,Moved Permanently,Thread Group 1-50,text,true,,356,141,50,50,http://test.bestviewsreviews.com/categories/,3,0,2
1629396771259,42540,HTTP Request-1,200,OK,Thread Group 1-50,text,true,,642105,145,50,50,https://test.bestviewsreviews.com:443/categories/,42490,0,841
1629396770610,43215,HTTP Request,200,OK,Thread Group 1-19,text,true,,642461,286,50,50,https://test.bestviewsreviews.com:443/categories/,3,0,1
1629396770610,3,HTTP Request-0,301,Moved Permanently,Thread Group 1-19,text,true,,356,141,50,50,http://test.bestviewsreviews.com/categories/,3,0,1
1629396770613,43212,HTTP Request-1,200,OK,Thread Group 1-19,text,true,,642105,145,50,50,https://test.bestviewsreviews.com:443/categories/,43143,0,1500
