timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1629402272898,1990,HTTP Request,200,OK,Thread Group 1-51,text,true,,90255,280,60,60,https://test.bestviewsreviews.com:443/contact/,50,0,49
1629402272898,50,HTTP Request-0,301,Moved Permanently,Thread Group 1-51,text,true,,353,138,60,60,http://test.bestviewsreviews.com/contact/,50,0,49
1629402272948,1940,HTTP Request-1,200,OK,Thread Group 1-51,text,true,,89902,142,60,60,https://test.bestviewsreviews.com:443/contact/,1933,0,957
1629402272882,2038,HTTP Request,200,OK,Thread Group 1-50,text,true,,90255,280,60,60,https://test.bestviewsreviews.com:443/contact/,69,0,64
1629402272882,69,HTTP Request-0,301,Moved Permanently,Thread Group 1-50,text,true,,353,138,60,60,http://test.bestviewsreviews.com/contact/,69,0,64
1629402272951,1969,HTTP Request-1,200,OK,Thread Group 1-50,text,true,,89902,142,60,60,https://test.bestviewsreviews.com:443/contact/,1959,0,946
1629402272233,2747,HTTP Request,200,OK,Thread Group 1-12,text,true,,90255,280,60,60,https://test.bestviewsreviews.com:443/contact/,46,0,34
1629402272233,49,HTTP Request-0,301,Moved Permanently,Thread Group 1-12,text,true,,353,138,60,60,http://test.bestviewsreviews.com/contact/,46,0,34
1629402272284,2696,HTTP Request-1,200,OK,Thread Group 1-12,text,true,,89902,142,60,60,https://test.bestviewsreviews.com:443/contact/,2693,0,1597
1629402272540,2466,HTTP Request,200,OK,Thread Group 1-30,text,true,,90255,280,60,60,https://test.bestviewsreviews.com:443/contact/,3,0,1
1629402272540,3,HTTP Request-0,301,Moved Permanently,Thread Group 1-30,text,true,,353,138,60,60,http://test.bestviewsreviews.com/contact/,3,0,1
1629402272543,2463,HTTP Request-1,200,OK,Thread Group 1-30,text,true,,89902,142,60,60,https://test.bestviewsreviews.com:443/contact/,2460,0,1370
1629402272628,2438,HTTP Request,200,OK,Thread Group 1-35,text,true,,90255,280,60,60,https://test.bestviewsreviews.com:443/contact/,20,0,16
1629402272628,20,HTTP Request-0,301,Moved Permanently,Thread Group 1-35,text,true,,353,138,60,60,http://test.bestviewsreviews.com/contact/,20,0,16
1629402272648,2418,HTTP Request-1,200,OK,Thread Group 1-35,text,true,,89902,142,60,60,https://test.bestviewsreviews.com:443/contact/,2415,0,1255
1629402272834,2234,HTTP Request,200,OK,Thread Group 1-45,text,true,,90255,280,60,60,https://test.bestviewsreviews.com:443/contact/,9,0,1
1629402272834,9,HTTP Request-0,301,Moved Permanently,Thread Group 1-45,text,true,,353,138,60,60,http://test.bestviewsreviews.com/contact/,9,0,1
1629402272843,2225,HTTP Request-1,200,OK,Thread Group 1-45,text,true,,89902,142,60,60,https://test.bestviewsreviews.com:443/contact/,2222,0,1034
1629402272538,2555,HTTP Request,200,OK,Thread Group 1-29,text,true,,90255,280,60,60,https://test.bestviewsreviews.com:443/contact/,3,0,2
1629402272538,3,HTTP Request-0,301,Moved Permanently,Thread Group 1-29,text,true,,353,138,60,60,http://test.bestviewsreviews.com/contact/,3,0,2
1629402272542,2551,HTTP Request-1,200,OK,Thread Group 1-29,text,true,,89902,142,60,60,https://test.bestviewsreviews.com:443/contact/,2549,0,1340
1629402272607,2535,HTTP Request,200,OK,Thread Group 1-34,text,true,,90255,280,60,60,https://test.bestviewsreviews.com:443/contact/,43,0,32
1629402272607,43,HTTP Request-0,301,Moved Permanently,Thread Group 1-34,text,true,,353,138,60,60,http://test.bestviewsreviews.com/contact/,43,0,32
1629402272650,2492,HTTP Request-1,200,OK,Thread Group 1-34,text,true,,89902,142,60,60,https://test.bestviewsreviews.com:443/contact/,2490,0,1236
1629402272833,2321,HTTP Request,200,OK,Thread Group 1-42,text,true,,90255,280,60,60,https://test.bestviewsreviews.com:443/contact/,2,0,1
1629402272833,2,HTTP Request-0,301,Moved Permanently,Thread Group 1-42,text,true,,353,138,60,60,http://test.bestviewsreviews.com/contact/,2,0,1
1629402272836,2318,HTTP Request-1,200,OK,Thread Group 1-42,text,true,,89902,142,60,60,https://test.bestviewsreviews.com:443/contact/,2315,0,1047
1629402273032,2127,HTTP Request,200,OK,Thread Group 1-59,text,true,,90255,280,60,60,https://test.bestviewsreviews.com:443/contact/,3,0,1
1629402273032,3,HTTP Request-0,301,Moved Permanently,Thread Group 1-59,text,true,,353,138,60,60,http://test.bestviewsreviews.com/contact/,3,0,1
1629402273036,2123,HTTP Request-1,200,OK,Thread Group 1-59,text,true,,89902,142,60,60,https://test.bestviewsreviews.com:443/contact/,2120,0,865
1629402272811,2404,HTTP Request,200,OK,Thread Group 1-46,text,true,,90255,280,60,60,https://test.bestviewsreviews.com:443/contact/,3,0,2
1629402272811,3,HTTP Request-0,301,Moved Permanently,Thread Group 1-46,text,true,,353,138,60,60,http://test.bestviewsreviews.com/contact/,3,0,2
1629402272814,2401,HTTP Request-1,200,OK,Thread Group 1-46,text,true,,89902,142,60,60,https://test.bestviewsreviews.com:443/contact/,2398,0,1097
1629402272352,2921,HTTP Request,200,OK,Thread Group 1-19,text,true,,90255,280,60,60,https://test.bestviewsreviews.com:443/contact/,3,0,1
1629402272352,3,HTTP Request-0,301,Moved Permanently,Thread Group 1-19,text,true,,353,138,60,60,http://test.bestviewsreviews.com/contact/,3,0,1
1629402272355,2918,HTTP Request-1,200,OK,Thread Group 1-19,text,true,,89902,142,60,60,https://test.bestviewsreviews.com:443/contact/,2915,0,1553
1629402272712,2599,HTTP Request,200,OK,Thread Group 1-40,text,true,,90255,280,60,60,https://test.bestviewsreviews.com:443/contact/,2,0,1
1629402272712,2,HTTP Request-0,301,Moved Permanently,Thread Group 1-40,text,true,,353,138,60,60,http://test.bestviewsreviews.com/contact/,2,0,1
1629402272715,2596,HTTP Request-1,200,OK,Thread Group 1-40,text,true,,89902,142,60,60,https://test.bestviewsreviews.com:443/contact/,2594,0,1184
1629402272213,3104,HTTP Request,200,OK,Thread Group 1-7,text,true,,90255,280,60,60,https://test.bestviewsreviews.com:443/contact/,66,0,54
1629402272213,69,HTTP Request-0,301,Moved Permanently,Thread Group 1-7,text,true,,353,138,60,60,http://test.bestviewsreviews.com/contact/,66,0,54
1629402272289,3028,HTTP Request-1,200,OK,Thread Group 1-7,text,true,,89902,142,60,60,https://test.bestviewsreviews.com:443/contact/,3025,0,1604
1629402272676,2670,HTTP Request,200,OK,Thread Group 1-38,text,true,,90255,280,60,60,https://test.bestviewsreviews.com:443/contact/,2,0,1
1629402272676,2,HTTP Request-0,301,Moved Permanently,Thread Group 1-38,text,true,,353,138,60,60,http://test.bestviewsreviews.com/contact/,2,0,1
1629402272679,2667,HTTP Request-1,200,OK,Thread Group 1-38,text,true,,89902,142,60,60,https://test.bestviewsreviews.com:443/contact/,2664,0,1227
