timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1629400615329,3451,HTTP Request,200,OK,Thread Group 1-48,text,true,,383521,392,60,60,https://test.bestviewsreviews.com:443/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,34,0,2
1629400615329,34,HTTP Request-0,301,Moved Permanently,Thread Group 1-48,text,true,,409,194,60,60,http://test.bestviewsreviews.com/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,34,0,2
1629400615363,3417,HTTP Request-1,200,OK,Thread Group 1-48,text,true,,383112,198,60,60,https://test.bestviewsreviews.com:443/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,3386,0,1272
1629400614688,4343,HTTP Request,200,OK,Thread Group 1-7,text,true,,383521,392,60,60,https://test.bestviewsreviews.com:443/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,62,0,51
1629400614688,74,HTTP Request-0,301,Moved Permanently,Thread Group 1-7,text,true,,409,194,60,60,http://test.bestviewsreviews.com/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,62,0,51
1629400614763,4268,HTTP Request-1,200,OK,Thread Group 1-7,text,true,,383112,198,60,60,https://test.bestviewsreviews.com:443/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,4230,0,1872
1629400615432,4283,HTTP Request,200,OK,Thread Group 1-54,text,true,,383521,392,60,60,https://test.bestviewsreviews.com:443/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,7,0,5
1629400615432,7,HTTP Request-0,301,Moved Permanently,Thread Group 1-54,text,true,,409,194,60,60,http://test.bestviewsreviews.com/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,7,0,5
1629400615440,4275,HTTP Request-1,200,OK,Thread Group 1-54,text,true,,383112,198,60,60,https://test.bestviewsreviews.com:443/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,4259,0,1181
1629400614954,5160,HTTP Request,200,OK,Thread Group 1-26,text,true,,383521,392,60,60,https://test.bestviewsreviews.com:443/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,3,0,1
1629400614954,3,HTTP Request-0,301,Moved Permanently,Thread Group 1-26,text,true,,409,194,60,60,http://test.bestviewsreviews.com/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,3,0,1
1629400614957,5157,HTTP Request-1,200,OK,Thread Group 1-26,text,true,,383112,198,60,60,https://test.bestviewsreviews.com:443/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,5137,0,1720
1629400615313,4917,HTTP Request,200,OK,Thread Group 1-47,text,true,,383521,392,60,60,https://test.bestviewsreviews.com:443/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,2,0,1
1629400615313,2,HTTP Request-0,301,Moved Permanently,Thread Group 1-47,text,true,,409,194,60,60,http://test.bestviewsreviews.com/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,2,0,1
1629400615316,4914,HTTP Request-1,200,OK,Thread Group 1-47,text,true,,383112,198,60,60,https://test.bestviewsreviews.com:443/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,4901,0,1357
1629400615080,5258,HTTP Request,200,OK,Thread Group 1-33,text,true,,383521,392,60,60,https://test.bestviewsreviews.com:443/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,19,0,1
1629400615080,19,HTTP Request-0,301,Moved Permanently,Thread Group 1-33,text,true,,409,194,60,60,http://test.bestviewsreviews.com/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,19,0,1
1629400615100,5238,HTTP Request-1,200,OK,Thread Group 1-33,text,true,,383112,198,60,60,https://test.bestviewsreviews.com:443/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,5227,0,1543
1629400614895,5457,HTTP Request,200,OK,Thread Group 1-22,text,true,,383521,392,60,60,https://test.bestviewsreviews.com:443/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,2,0,1
1629400614895,2,HTTP Request-0,301,Moved Permanently,Thread Group 1-22,text,true,,409,194,60,60,http://test.bestviewsreviews.com/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,2,0,1
1629400614898,5454,HTTP Request-1,200,OK,Thread Group 1-22,text,true,,383112,198,60,60,https://test.bestviewsreviews.com:443/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,5441,0,1770
1629400614751,5620,HTTP Request,200,OK,Thread Group 1-14,text,true,,383521,392,60,60,https://test.bestviewsreviews.com:443/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,9,0,7
1629400614751,9,HTTP Request-0,301,Moved Permanently,Thread Group 1-14,text,true,,409,194,60,60,http://test.bestviewsreviews.com/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,9,0,7
1629400614761,5610,HTTP Request-1,200,OK,Thread Group 1-14,text,true,,383112,198,60,60,https://test.bestviewsreviews.com:443/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,5592,0,1863
1629400615115,5277,HTTP Request,200,OK,Thread Group 1-35,text,true,,383521,392,60,60,https://test.bestviewsreviews.com:443/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,4,0,2
1629400615115,4,HTTP Request-0,301,Moved Permanently,Thread Group 1-35,text,true,,409,194,60,60,http://test.bestviewsreviews.com/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,4,0,2
1629400615119,5273,HTTP Request-1,200,OK,Thread Group 1-35,text,true,,383112,198,60,60,https://test.bestviewsreviews.com:443/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,5253,0,1508
1629400615419,5005,HTTP Request,200,OK,Thread Group 1-53,text,true,,383521,392,60,60,https://test.bestviewsreviews.com:443/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,19,0,6
1629400615419,19,HTTP Request-0,301,Moved Permanently,Thread Group 1-53,text,true,,409,194,60,60,http://test.bestviewsreviews.com/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,19,0,6
1629400615439,4985,HTTP Request-1,200,OK,Thread Group 1-53,text,true,,383112,198,60,60,https://test.bestviewsreviews.com:443/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,4973,0,1241
1629400614700,5770,HTTP Request,200,OK,Thread Group 1-11,text,true,,383521,392,60,60,https://test.bestviewsreviews.com:443/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,50,0,37
1629400614700,60,HTTP Request-0,301,Moved Permanently,Thread Group 1-11,text,true,,409,194,60,60,http://test.bestviewsreviews.com/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,50,0,37
1629400614760,5710,HTTP Request-1,200,OK,Thread Group 1-11,text,true,,383112,198,60,60,https://test.bestviewsreviews.com:443/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,5698,0,1905
1629400615500,5006,HTTP Request,200,OK,Thread Group 1-57,text,true,,383521,392,60,60,https://test.bestviewsreviews.com:443/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,3,0,2
1629400615500,3,HTTP Request-0,301,Moved Permanently,Thread Group 1-57,text,true,,409,194,60,60,http://test.bestviewsreviews.com/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,3,0,2
1629400615504,5002,HTTP Request-1,200,OK,Thread Group 1-57,text,true,,383112,198,60,60,https://test.bestviewsreviews.com:443/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,4990,0,1159
1629400615101,5426,HTTP Request,200,OK,Thread Group 1-34,text,true,,383521,392,60,60,https://test.bestviewsreviews.com:443/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,17,0,14
1629400615101,17,HTTP Request-0,301,Moved Permanently,Thread Group 1-34,text,true,,409,194,60,60,http://test.bestviewsreviews.com/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,17,0,14
1629400615118,5409,HTTP Request-1,200,OK,Thread Group 1-34,text,true,,383112,198,60,60,https://test.bestviewsreviews.com:443/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,5397,0,1562
