timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1629437997025,2461,HTTP Request,200,OK,Thread Group 1-1,text,true,,88557,284,60,60,https://test.bestviewsreviews.com:443/thank-you/,52,0,34
1629437997025,52,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,text,true,,355,140,60,60,http://test.bestviewsreviews.com/thank-you/,52,0,34
1629437997088,2398,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,88202,144,60,60,https://test.bestviewsreviews.com:443/thank-you/,2389,0,1958
1629437997407,2078,HTTP Request,200,OK,Thread Group 1-33,text,true,,88557,284,60,60,https://test.bestviewsreviews.com:443/thank-you/,6,0,5
1629437997407,6,HTTP Request-0,301,Moved Permanently,Thread Group 1-33,text,true,,355,140,60,60,http://test.bestviewsreviews.com/thank-you/,6,0,5
1629437997414,2071,HTTP Request-1,200,OK,Thread Group 1-33,text,true,,88202,144,60,60,https://test.bestviewsreviews.com:443/thank-you/,2054,0,1655
1629437997366,2143,HTTP Request,200,OK,Thread Group 1-30,text,true,,88557,284,60,60,https://test.bestviewsreviews.com:443/thank-you/,7,0,6
1629437997366,7,HTTP Request-0,301,Moved Permanently,Thread Group 1-30,text,true,,355,140,60,60,http://test.bestviewsreviews.com/thank-you/,7,0,6
1629437997374,2135,HTTP Request-1,200,OK,Thread Group 1-30,text,true,,88202,144,60,60,https://test.bestviewsreviews.com:443/thank-you/,2122,0,1673
1629437997068,2448,HTTP Request,200,OK,Thread Group 1-13,text,true,,88557,284,60,60,https://test.bestviewsreviews.com:443/thank-you/,9,0,1
1629437997068,9,HTTP Request-0,301,Moved Permanently,Thread Group 1-13,text,true,,355,140,60,60,http://test.bestviewsreviews.com/thank-you/,9,0,1
1629437997078,2438,HTTP Request-1,200,OK,Thread Group 1-13,text,true,,88202,144,60,60,https://test.bestviewsreviews.com:443/thank-you/,2419,0,1994
1629437997027,2502,HTTP Request,200,OK,Thread Group 1-3,text,true,,88557,284,60,60,https://test.bestviewsreviews.com:443/thank-you/,50,0,37
1629437997027,50,HTTP Request-0,301,Moved Permanently,Thread Group 1-3,text,true,,355,140,60,60,http://test.bestviewsreviews.com/thank-you/,50,0,37
1629437997081,2448,HTTP Request-1,200,OK,Thread Group 1-3,text,true,,88202,144,60,60,https://test.bestviewsreviews.com:443/thank-you/,2436,0,1963
1629437997122,2463,HTTP Request,200,OK,Thread Group 1-16,text,true,,88557,284,60,60,https://test.bestviewsreviews.com:443/thank-you/,5,0,2
1629437997122,5,HTTP Request-0,301,Moved Permanently,Thread Group 1-16,text,true,,355,140,60,60,http://test.bestviewsreviews.com/thank-you/,5,0,2
1629437997128,2457,HTTP Request-1,200,OK,Thread Group 1-16,text,true,,88202,144,60,60,https://test.bestviewsreviews.com:443/thank-you/,2454,0,1938
1629437997867,1734,HTTP Request,200,OK,Thread Group 1-60,text,true,,88557,284,60,60,https://test.bestviewsreviews.com:443/thank-you/,138,0,135
1629437997867,138,HTTP Request-0,301,Moved Permanently,Thread Group 1-60,text,true,,355,140,60,60,http://test.bestviewsreviews.com/thank-you/,138,0,135
1629437998006,1595,HTTP Request-1,200,OK,Thread Group 1-60,text,true,,88202,144,60,60,https://test.bestviewsreviews.com:443/thank-you/,1592,0,1082
1629437997696,1922,HTTP Request,200,OK,Thread Group 1-50,text,true,,88557,284,60,60,https://test.bestviewsreviews.com:443/thank-you/,4,0,1
1629437997696,4,HTTP Request-0,301,Moved Permanently,Thread Group 1-50,text,true,,355,140,60,60,http://test.bestviewsreviews.com/thank-you/,4,0,1
1629437997701,1917,HTTP Request-1,200,OK,Thread Group 1-50,text,true,,88202,144,60,60,https://test.bestviewsreviews.com:443/thank-you/,1914,0,1358
1629437997833,1806,HTTP Request,200,OK,Thread Group 1-58,text,true,,88557,284,60,60,https://test.bestviewsreviews.com:443/thank-you/,17,0,16
1629437997833,17,HTTP Request-0,301,Moved Permanently,Thread Group 1-58,text,true,,355,140,60,60,http://test.bestviewsreviews.com/thank-you/,17,0,16
