timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1629399011344,9719,HTTP Request,200,OK,Thread Group 1-16,text,true,,689548,272,60,60,https://test.bestviewsreviews.com:443/tvs/,2,0,1
1629399011344,2,HTTP Request-0,301,Moved Permanently,Thread Group 1-16,text,true,,349,134,60,60,http://test.bestviewsreviews.com/tvs/,2,0,1
1629399011347,9716,HTTP Request-1,200,OK,Thread Group 1-16,text,true,,689199,138,60,60,https://test.bestviewsreviews.com:443/tvs/,9659,0,1651
1629399011902,9643,HTTP Request,200,OK,Thread Group 1-49,text,true,,689548,272,60,60,https://test.bestviewsreviews.com:443/tvs/,2,0,1
1629399011902,2,HTTP Request-0,301,Moved Permanently,Thread Group 1-49,text,true,,349,134,60,60,http://test.bestviewsreviews.com/tvs/,2,0,1
1629399011904,9641,HTTP Request-1,200,OK,Thread Group 1-49,text,true,,689199,138,60,60,https://test.bestviewsreviews.com:443/tvs/,9602,0,1110
1629399011991,9695,HTTP Request,200,OK,Thread Group 1-54,text,true,,689548,272,60,60,https://test.bestviewsreviews.com:443/tvs/,2,0,1
1629399011991,2,HTTP Request-0,301,Moved Permanently,Thread Group 1-54,text,true,,349,134,60,60,http://test.bestviewsreviews.com/tvs/,2,0,1
1629399011994,9692,HTTP Request-1,200,OK,Thread Group 1-54,text,true,,689199,138,60,60,https://test.bestviewsreviews.com:443/tvs/,9669,0,1010
1629399011427,11181,HTTP Request,200,OK,Thread Group 1-21,text,true,,689548,272,60,60,https://test.bestviewsreviews.com:443/tvs/,2,0,1
1629399011427,2,HTTP Request-0,301,Moved Permanently,Thread Group 1-21,text,true,,349,134,60,60,http://test.bestviewsreviews.com/tvs/,2,0,1
1629399011429,11179,HTTP Request-1,200,OK,Thread Group 1-21,text,true,,689199,138,60,60,https://test.bestviewsreviews.com:443/tvs/,11157,0,1572
1629399011315,12085,HTTP Request,200,OK,Thread Group 1-14,text,true,,689548,272,60,60,https://test.bestviewsreviews.com:443/tvs/,2,0,1
1629399011315,2,HTTP Request-0,301,Moved Permanently,Thread Group 1-14,text,true,,349,134,60,60,http://test.bestviewsreviews.com/tvs/,2,0,1
1629399011318,12082,HTTP Request-1,200,OK,Thread Group 1-14,text,true,,689199,138,60,60,https://test.bestviewsreviews.com:443/tvs/,12051,0,1680
1629399011235,12792,HTTP Request,200,OK,Thread Group 1-3,text,true,,689548,272,60,60,https://test.bestviewsreviews.com:443/tvs/,45,0,34
1629399011235,58,HTTP Request-0,301,Moved Permanently,Thread Group 1-3,text,true,,349,134,60,60,http://test.bestviewsreviews.com/tvs/,45,0,34
1629399011292,12735,HTTP Request-1,200,OK,Thread Group 1-3,text,true,,689199,138,60,60,https://test.bestviewsreviews.com:443/tvs/,12504,0,1703
1629399011375,15196,HTTP Request,200,OK,Thread Group 1-18,text,true,,689548,272,60,60,https://test.bestviewsreviews.com:443/tvs/,2,0,1
1629399011375,2,HTTP Request-0,301,Moved Permanently,Thread Group 1-18,text,true,,349,134,60,60,http://test.bestviewsreviews.com/tvs/,2,0,1
1629399011378,15193,HTTP Request-1,200,OK,Thread Group 1-18,text,true,,689199,138,60,60,https://test.bestviewsreviews.com:443/tvs/,15172,0,1617
1629399011749,15143,HTTP Request,200,OK,Thread Group 1-40,text,true,,689548,272,60,60,https://test.bestviewsreviews.com:443/tvs/,2,0,1
1629399011749,2,HTTP Request-0,301,Moved Permanently,Thread Group 1-40,text,true,,349,134,60,60,http://test.bestviewsreviews.com/tvs/,2,0,1
1629399011751,15141,HTTP Request-1,200,OK,Thread Group 1-40,text,true,,689199,138,60,60,https://test.bestviewsreviews.com:443/tvs/,15119,0,1245
1629399011901,16109,HTTP Request,200,OK,Thread Group 1-48,text,true,,689548,272,60,60,https://test.bestviewsreviews.com:443/tvs/,2,0,1
1629399011901,2,HTTP Request-0,301,Moved Permanently,Thread Group 1-48,text,true,,349,134,60,60,http://test.bestviewsreviews.com/tvs/,2,0,1
1629399011903,16107,HTTP Request-1,200,OK,Thread Group 1-48,text,true,,689199,138,60,60,https://test.bestviewsreviews.com:443/tvs/,15889,0,1112
1629399011956,16102,HTTP Request,200,OK,Thread Group 1-52,text,true,,689548,272,60,60,https://test.bestviewsreviews.com:443/tvs/,2,0,1
1629399011956,2,HTTP Request-0,301,Moved Permanently,Thread Group 1-52,text,true,,349,134,60,60,http://test.bestviewsreviews.com/tvs/,2,0,1
1629399011958,16100,HTTP Request-1,200,OK,Thread Group 1-52,text,true,,689199,138,60,60,https://test.bestviewsreviews.com:443/tvs/,16078,0,1049
1629399011784,17572,HTTP Request,200,OK,Thread Group 1-42,text,true,,689548,272,60,60,https://test.bestviewsreviews.com:443/tvs/,3,0,1
1629399011784,3,HTTP Request-0,301,Moved Permanently,Thread Group 1-42,text,true,,349,134,60,60,http://test.bestviewsreviews.com/tvs/,3,0,1
1629399011788,17568,HTTP Request-1,200,OK,Thread Group 1-42,text,true,,689199,138,60,60,https://test.bestviewsreviews.com:443/tvs/,17547,0,1219
1629399011274,18108,HTTP Request,200,OK,Thread Group 1-12,text,true,,689548,272,60,60,https://test.bestviewsreviews.com:443/tvs/,13,0,1
1629399011274,13,HTTP Request-0,301,Moved Permanently,Thread Group 1-12,text,true,,349,134,60,60,http://test.bestviewsreviews.com/tvs/,13,0,1
1629399011288,18094,HTTP Request-1,200,OK,Thread Group 1-12,text,true,,689199,138,60,60,https://test.bestviewsreviews.com:443/tvs/,18072,0,1721
1629399011412,18122,HTTP Request,200,OK,Thread Group 1-20,text,true,,689548,272,60,60,https://test.bestviewsreviews.com:443/tvs/,2,0,1
